seed,expert_T4,expert_T8,replay_T4,replay_T8
0,0.918141574594118,0.9196523548455519,0.39663383961888865,0.38780299312530936
1,0.939346324938304,0.9158398260575958,0.4190129025632671,0.38874485507144607
2,0.9086994336855385,0.9274288216929557,0.2734179402145658,0.39038621656547406
3,0.9325404719356427,0.5296493734403581,0.3985510503570686,0.39529923669125544
4,0.9338183037422653,0.928475513945452,0.3836156584779938,0.18387436325176457
5,0.9185806190056153,0.9233938582278751,0.4045605166375609,0.3969604929136813
6,0.929352677536044,0.921511939337548,0.39770367998046485,0.39604319834486995
7,0.9281193748325193,0.9307521751141126,0.4270012743585187,0.4060901025896449
8,0.92179384754249,0.9321537402519136,0.39442296732062737,0.4199614388361879
9,0.928408230183426,0.9096728419798327,0.3844217862900286,0.38587119901776645
10,0.9197936414416591,0.9218379412518981,0.4094795894519066,0.4167939362295431
11,0.9299374071836437,0.9168265183362058,0.40975108070985594,0.40300880044358256
12,0.9045899303229968,0.940559959947757,0.1875273689825883,0.38553193224139143
13,0.9088767688430992,0.9046639910702603,0.4256168017157683,0.40478219730369724
14,0.9350228086695676,0.9285693383785704,0.39864314902586834,0.4319104971834832
15,0.9210845810659825,0.5096611791352487,0.4069387210241834,0.4045015999022038
16,0.939417711040122,0.9178703613956632,0.407834148636737,0.4157993877966621
17,0.9437339609978876,0.9186439325921045,0.3886204169123377,0.4137840412114942
18,0.9407857438483754,0.6106140309708465,0.40425318054346154,0.3911388138061674
19,0.9306425896808306,0.9300197629449869,0.337599063081325,0.38877279105192725
20,0.9331316656146514,0.9077972443583545,0.40419414992534713,0.41169989133997087
21,0.9391691082900755,0.9097340699382804,0.40354841231044697,0.3993399222722406
22,0.9277545999393269,0.7989585471304852,0.41386164133084913,0.3766883414333337
23,0.9321290219408109,0.9254907846238908,0.40015450871979846,0.40121298913908837
24,0.9153809046787474,0.929003401434966,0.40998022468249745,0.4101805667278635
25,0.9277377854889223,0.9310263199089438,0.403222805470006,0.40593892329490117
26,0.9375538694827426,0.7735282796324178,0.36472151654197643,0.42148879988037835
27,0.9439766377882175,0.9197318883550758,0.38557851681818944,0.3908407270365571
28,0.9398803709568392,0.9144676266008368,0.42771675322117014,0.387809819161922
29,0.9213384754316376,0.9085859526395451,0.40730362341153814,0.41443398326057684
30,0.928562546144295,0.4468058968684098,0.39840927360950595,0.3970980825284218
31,0.9324513248352607,0.9048082454804035,0.4097300980571492,0.391314968650102
32,0.944568151289982,0.9292672037915438,0.40188614764125496,0.42013278134126225
33,0.9308766071556474,0.9159154836697833,0.408461325656104,0.40736001822107176
34,0.9380438477735821,0.8529719171490713,0.38162756373916673,0.35969446865703514
35,0.9222160131678268,0.7399777667331725,0.413605987111682,0.41434647846739464
36,0.9221205114685052,0.9263559113207839,0.40008710320265933,0.3890290644593811
37,0.9205290299958295,0.8884993078014797,0.38811920340781436,0.149487018461545
38,0.9257384411273759,0.5901404331303609,0.39559026650433177,0.38789895765019916
39,0.9218420717609439,0.9273909534844416,0.3929081647669987,0.40523638783694793
40,0.9335953157352117,0.7916009200862262,0.4230324287096938,0.39977213912800397
41,0.9230335459463967,0.9096966145738832,0.42220491324789394,0.4075549100407338
42,0.9257806512220176,0.9456004589927559,0.4111999595470198,0.41917727030751895
43,0.914423675831949,0.9282032803825563,0.3799836027250859,0.39110009880765334
44,0.929795824543979,0.9133072924052386,0.39372672512213425,0.40962653332822496
45,0.939956444834304,0.9129023082286434,0.37848201679239674,0.3945984005203048
46,0.9304124897699246,0.9322487950995904,0.3790443620465901,0.40225582949738514
47,0.9395015553019147,0.7341137462890334,0.4044609343392247,0.4123284907977823
48,0.9215945522593064,0.9170889937559551,0.38929952320875727,0.3811431329523981
49,0.908497898875757,0.9347388278773351,0.4090199729034255,0.41127905517655416
50,0.9183363717251256,0.9170621811911175,0.4142541052078762,0.41328407852569754
51,0.9238562076664103,0.9244709600904453,0.4079515533613262,0.3804267139276417
52,0.9329482061266712,0.9178297164740016,0.39424533574777026,0.3864054524885039
53,0.9339253072523009,0.9150909410330171,0.4008411646258382,0.4197760945629463
54,0.9459741011184777,0.4253964582439835,0.40189204785621513,0.4068895286996916
55,0.6204550293549129,0.9143536956123275,0.4091428458090742,0.4105447449026984
56,0.9077805591788745,0.9254910035421622,0.4043477795397263,0.40517635808846647
57,0.9352207462466263,0.9137477862149936,0.40393373983493985,0.4162000809729812
58,0.942555183778372,0.9424297118877722,0.2657024734289802,0.4193778294091771
59,0.9261831600096911,0.9105681944238901,0.38731226211086994,0.28793968198839215
60,0.9238711140022032,0.9234001611161572,0.3954105481782787,0.4139168731057413
61,0.9233835243673543,0.9076821528141965,0.42075694754067033,0.41111679347661
62,0.9210623472579911,0.9086292480050953,0.24454529969456354,0.39557362419766
63,0.9410583730235031,0.9175127330636145,0.4152263972468536,0.42892756476567523
64,0.9225128005017167,0.7082219746932849,0.4006447319429426,0.41718575962709076
65,0.9323815127579341,0.9225360132781618,0.3917186431981648,0.411878092685923
66,0.9297541217046741,0.8923966286154946,0.3972230712820017,0.4087627085920999
67,0.9450990853953035,0.9423092341733657,0.39422481417686306,0.4099585006662474
68,0.9366152118924859,0.9337364972490289,0.11507787931839349,0.390555819958942
69,0.9492278884602217,0.5757219014948064,0.41233564272262707,0.4106719673722822
70,0.9003291492131259,0.9245344362325657,0.39313403278933623,0.3922998289612297
71,0.9238192515292617,0.92164518347694,0.3952487152072434,0.3844495756839792
72,0.9329288209333887,0.4381010751346675,0.296656962732416,0.41147058088605337
73,0.9331243079902897,0.9312103753786861,0.40100408926468223,0.41628794252934603
74,0.9297316096244248,0.9266328089104766,0.42868443055955097,0.4187563749713146
75,0.9263682474951994,0.9308846067793866,0.40986033496123503,0.3933244637253424
76,0.9282951893890194,0.9080121281847028,0.4065557710642372,0.22459009054828405
77,0.9285618623230586,0.9078055955643533,0.39339260386825287,0.3820986457019867
78,0.9351304739148801,0.9292225810787984,0.42038445255802265,0.26820810458124844
79,0.9185165550839761,0.5755665075787273,0.4088269902324963,0.415777604612362
80,0.9356441749247578,0.9078559916715936,0.4010485254366196,0.38880896019639566
81,0.9174011271868302,0.9261001688569533,0.402715825034616,0.4028262078036783
82,0.9324814695278104,0.5585453832860109,0.37789917839695664,0.4022075095660417
83,0.9367678300180201,0.9062715655098043,0.40364356509712335,0.30586506810586256
84,0.9232691683996485,0.9209750365241599,0.3986228696861482,0.39813385785175015
85,0.9341575202777626,0.9225177548886125,0.39718929150385274,0.32272027652649055
86,0.9479845363356044,0.9152294406876769,0.3702012618526847,0.387123689513452
87,0.9335455833948241,0.9278771292749247,0.41334114707054836,0.38157175067081023
88,0.9298781305787327,0.9369051099351846,0.3987353767628786,0.4100410486490757
89,0.9419731092921142,0.941448385012595,0.3785744291600256,0.4099952392952397
90,0.9299200359173339,0.742542106494365,0.3850220092316524,0.4190532040697422
91,0.9499614061589257,0.9141357814600999,0.4140345633913426,0.38800928880283825
92,0.9336256323295563,0.9245522645930367,0.40665859037115676,0.3969158617850492
93,0.9156197606782015,0.924506628744805,0.4147517926659565,0.40032560665124206
94,0.9054722883752653,0.9164347108435148,0.4106010933812708,0.39435773482306724
95,0.9382463383301824,0.4302155945106185,0.31114026644999854,0.40098739917620146
96,0.9295658443746271,0.9364828561697698,0.4062600521721059,0.3916995237159746
97,0.9225873656764861,0.9246836747405173,0.4242235722730139,0.3991773618346109
98,0.9309716096553963,0.917378987601817,0.39145976589286585,0.41101850172164733
99,0.9289799640326961,0.8972363163352644,0.3699615330512672,0.4003454303573113
100,0.4369520344173042,0.9030746984677719,0.4113807466249782,0.41160440855446795
101,0.9272330752242567,0.9238608727057498,0.39355022416615293,0.4101798647559139
102,0.926831721274238,0.9233019676079155,0.4175013431998313,0.4084400516059853
103,0.932580498244003,0.9316245999812414,0.38375971875044546,0.4100841794860399
104,0.9350532251382572,0.9260785401515234,0.3510141432634456,0.4043991448818079
105,0.9186148265510544,0.9300114630325298,0.39808846365057104,0.4058998969904185
106,0.9232539471299064,0.8388782299974394,0.38627354712326356,0.4163972337015088
107,0.9419844199504676,0.917699453508423,0.41490710883414716,0.3854279887399341
108,0.941696106903087,0.9304559240532598,0.39434344862513215,0.2328112883644018
109,0.9233093398511272,0.9277343594506886,0.41072544031441327,0.40330492257435335
110,0.9325336435518885,0.9351094201779768,0.4002484183734351,0.3792119061136411
111,0.9228668730418174,0.44162898721482546,0.41531724452094687,0.4242932677444093
112,0.9258019375159618,0.9220351592779137,0.4004964555768839,0.3641519219188822
113,0.941585199420221,0.9167554138516933,0.39802168749644484,0.38830252820380023
114,0.9192353009697118,0.9064223835073711,0.38979405042084636,0.4186004961213005
115,0.929452801114561,0.9281293376006371,0.3913964332732146,0.3919715411614305
116,0.9220710208853591,0.6720656724618613,0.3525495740063647,0.4152606749327864
117,0.9327501125879406,0.824647010545032,0.396499802404253,0.3535424153405466
118,0.9340752139011848,0.9080759681018021,0.39567422811903896,0.2773438518349795
119,0.9415608392830387,0.9285086960763065,0.4071924647450328,0.4033214372314614
120,0.9349076923540975,0.8902372055426693,0.14736400978971279,0.40196792874269044
121,0.9521886691447646,0.9165601290612457,0.4152939816277282,0.38891182334984886
122,0.9434719686616918,0.9323215072287573,0.24861804274693355,0.4136464554716638
123,0.9246875407686529,0.9247280850058995,0.4237857557627586,0.3889517186280803
124,0.9241062941435079,0.45323145076651766,0.4123854949658278,0.3999434854076297
125,0.924172179567967,0.9352005265551789,0.39749543697649165,0.4103173052542041
126,0.9256676955637468,0.9196450103199075,0.34439402412613174,0.3524951256186648
127,0.9270278094024212,0.8998386169420558,0.40283920940847323,0.4197168487415426
128,0.935774983504627,0.9296825707881993,0.41851686267455596,0.39683090424552564
129,0.9246599760440728,0.7835305535437587,0.4068944468945706,0.403169745745427
130,0.9240603964079148,0.919457258563197,0.3861787847454585,0.4261050161515254
131,0.9484395075154689,0.9090214651753776,0.39655656187789173,0.4074354022663279
132,0.9337884539659573,0.9138516208105325,0.4019608346075361,0.40613135499987896
133,0.9493354835971237,0.5516854281725386,0.3900577897224433,0.3943339735908011
134,0.9269709498273959,0.9144557773433806,0.0713694045526696,0.40125755142906155
135,0.9224162098494604,0.9263360533752296,0.4060274614894141,0.38550414431193375
136,0.9308176352483566,0.8473321492788805,0.413418944226911,0.4044284592843991
137,0.922775215815191,0.849106704377656,0.3984606096185181,0.3991179296098851
138,0.4304161014602643,0.5976929801738942,0.40010782568483194,0.4004106661987594
139,0.9203518643379726,0.9209155276779596,0.4157393246882013,0.4084350919537405
140,0.9212295914405184,0.9047883064102676,0.39997612618257156,0.40848181679487733
141,0.9292365018258176,0.9018000594981177,0.4012787207523862,0.4052091097652096
142,0.9469976600347005,0.9126778278881106,0.38987757440472115,0.3981776747313148
143,0.9235201985196416,0.9135269082258015,0.4062662516594794,0.2970692237692058
144,0.9388008665781138,0.902204146267376,0.411758437271088,0.4071838698165254
145,0.9238799439443639,0.9293862944366573,0.4202717070537896,0.39528158184073053
146,0.9443687600539054,0.9344269743784309,0.41179736996286215,0.39409223010590805
147,0.928591521692749,0.8803071986246837,0.4141185099016509,0.407248615574709
148,0.9246490476242262,0.7262257961097924,0.06751285457881401,0.3878464598796593
149,0.9239605220066701,0.9236544737580251,0.3782422824135857,0.3825224830644839
Average,0.9208803435492076,0.8654785338360653,0.3858045761298276,0.39157942774592464
StdError,0.005138481469499443,0.010436858274226295,0.004785301627437647,0.0033798514627989746
