seed,hopper-medium-replay_ST20,walker2d-medium-replay_ST20
0,0.9876364222673993,0.5694538215381548
1,0.9683979468428365,0.8515812975002105
2,0.9080598155122256,0.8113170760251469
3,0.9457207289324294,0.06897935440855824
4,0.9890100374352825,0.676554797455779
5,0.9751504867627483,0.3136018575053296
6,0.5747540067353591,0.8353171902124279
7,0.9878838098419367,0.7891205227898932
8,0.75459576897394,0.8302508280527328
9,0.9837301609444659,0.8314959502828743
10,0.9837652557611632,0.535833372854443
11,0.5412608571744802,0.07108191568990875
12,1.0030968974459034,0.830462887610299
13,0.9801278769752054,0.408067856168749
14,0.9730076182186325,0.08294975896955949
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
Average,0.9037465126549339,0.5670712324709377
StdError,0.039498354680962924,0.07872176249824839
Formatted,90.4±3.9,56.7±7.9
